Date,TimeStart,TimeEnd,Intervalls,TempMean,TempStd,WindVelMean,WindVelStd,TWCMean,TWCStd,LWCMean,LWCStd,IWCMean,IWCStd,TWConcMean,TWConcStd,LWConcMean,LWConcStd,IWConcMean,IWConcStd
03.04.12,15:23,22:27, 38, -9.3,0.5, 7.8,1.3, 83, 30, 82, 31,  2,  4, 96,41, 96,41,0.005, 0.008
04.04.12,08:13,23:57,192, -7.9,0.7,10.5,1.5, 48, 21, 45, 19,  2,  6, 59,21, 59,21,0.013, 0.069
05.04.12,05:05,20:10,213, -7.7,1.4, 1.5,1.2, 87, 97, 82, 85,  5, 33, 42,19, 42,19,0.028, 0.057
06.04.12,20:53,07:14,170, -9.5,0.3, 3.4,1.4,150,177,126,115, 24,128,143,96,143,96,0.062, 0.285
14.04.12,20:39,01:14, 51,-11.1,0.2, 6.1,0.5, 87, 40, 77, 30, 10, 18, 78,35, 78,35,0.056, 0.097
15.04.12,10:15,13:45, 26, -5.9,0.6, 3.1,1.3, 72, 54, 67, 52,  6, 15, 72,56, 72,56,0.003, 0.007
18.04.12,08:50,16:39, 75, -8.8,1.9, 4.1,2.2,177,668, 77, 48,101,672, 72,43, 71,42,1.487,11.765
01.05.12,13:35,15:18, 19, -4.8,0.4, 8.7,0.5, 27,  7, 26,  7,  1,  4, 16, 3, 16, 3,0.007, 0.017
29.01.13,06:57,08:40, 43, -8.0,0.1,12.2,0.6, 58, 30, 37, 20, 22, 19, 48,22, 48,22,0.091, 0.134
04.02.13,09:53,19:35,169,-12.1,0.9,12.3,1.9,162,180, 69, 34, 93,182, 28,16, 27,16,0.613, 1.335
05.02.13,13:31,17:42,132,-16.7,0.3,12.8,1.8,130,150,  2,  5,127,148,  5,10,  4, 9,0.468, 0.495
06.02.13,09:26,23:51,201,-20.4,0.9, 7.2,2.1,223,160, 18, 22,205,163, 25,25, 25,25,0.767, 0.727
07.02.13,09:15,22:23,331,-24.5,0.5, 8.8,1.0,266,188, 74, 44,191,181, 96,33, 94,33,1.158, 1.252
08.02.13,09:07,10:05, 35,-25.4,0.1, 4.6,0.8,265,125, 77, 14,189,118, 94,10, 93,10,0.859, 0.900
11.02.13,14:53,17:58, 59,-20.0,0.5, 7.9,1.0, 25, 18,  2,  3, 24, 18,  4,11,  4,11,0.090, 0.161
12.02.13,12:12,21:56,254,-19.3,0.7, 7.7,0.8,239,116,123, 48,116,104,202,86,202,86,0.449, 0.472
14.02.13,20:05,21:50, 42,-13.8,0.3, 8.6,1.1,264,132, 54, 14,210,133, 27,14, 27,14,0.832, 0.692
